"210101","ยานยนต์","2101","Automotive","101"
"210102","เครื่องกลอุตสาหกรรม","2101","Industrial Machinery","101"
"210103","เครื่องกลเรือ","2101","Ship Mechanics","101"
"210104","เครื่องกลเกษตร","2101","Agricultural Machinery","101"
"210105","ตัวถังและสีรถยนต์","2101","Auto body repair and repaint","101"
"210201","เครื่องมือกล","2102","Machine Tools","102"
"210202","แม่พิมพ์โลหะ","2102","Metal Mold-making","102"
"210203","แม่พิมพ์พลาสติก","2102","Plastic Mold-making","102"
"210204","ผลิตชิ้นส่วนยานยนต์","2102",,"102"
"210301","ผลิตภัณฑ์","2103",,"103"
"210302","โครงสร้าง","2103",,"103"
"210303","อุตสาหกรรมต่อตัวถังรถโดยสาร","2103","Bus Body Assambly Industrial","103"
"210401","ไฟฟ้ากำลัง","2104","Electrical Power","104"
"210501","อิเล็กทรอนิกส์","2105","Electronics","105"
"210601","ก่อสร้าง","2106","Building Construction","106"
"210701","เครื่องเรือนและตกแต่งภายใน","2107","Furniture and Interior Decoration","107"
"210801","สถาปัตยกรรม","2108","Architectural","108"
"210901","สำรวจ","2109","Surveying","109"
"211001","เขียนแบบเครื่องกล","2110","Mechanical Drafting","110"
"211101","ซ่อมบำรุงอุตสาหกรรม","2111","Machine Tools Maintenance","111"
"211201","ช่างพิมพ์","2112","Printing","112"
"211601","แว่นตาและเลนส์","2116","Optical and Lens","116"
"211701","ต่อเรือโลหะ","2117","Metal Ship","117"
"211702","ต่อเรือไม้และไฟเบอร์กลาส","2117","Wooden Boat and Fiberglass Boat","117"
"211704","นาวาสถาปัตย์","2117","Naval Architecture","117"
"211705","ซ่อมบำรุงเรือ","2117",,"117"
"211901","โทรคมนาคม","2119","Telecommunication","119"
"212101","โยธา","2121","Civil","121"
"212201","อุตสาหกรรมยาง","2122",,"122"
"212701","เมคคาทรอนิกส์","2127","Mechatronics","127"
"212801","เทคนิคคอมพิวเตอร์","2128",,"128"
"212901","อุตสาหกรรมฟอกหนัง","2129",,"129"
"219101","กลุ่มวิชายานยนต์","2191","Automotive group","191"
"219102","กลุ่มวิชาเครื่องมือกล","2191","Machine Tools","191"
"219103","กลุ่มวิชาไฟฟ้า","2191","Electrical","191"
"219104","กลุ่มวิชาอิเล็กทรอนิกส์","2191","Electronics","191"
"219105","กลุ่มวิชาเครื่องจักรอัตโนมัติ","2191","Auto Machine","191"
"219106","กลุ่มวิชาก่อสร้าง","2191",,"191"
"220101","การบัญชี","2201","Accounting","201"
"220201","การตลาด","2202","Marketing","202"
"220301","การเลขานุการ","2203","Secretarial Studies","203"
"220401","คอมพิวเตอร์ธุรกิจ","2204","Business Computer","204"
"220901","ธุรกิจสถานพยาบาล","2209","Health Sector Business","209"
"221001","การประชาสัมพันธ์","2210","Public Relations","210"
"221101","ธุรกิจค้าปลีกทั่วไป","2211","Retail Business","211"
"221102","ธุรกิจค้าปลีกร้านสะดวกซื้อ","2211",,"211"
"221103","ธุรกิจค้าปลีกสรรพสินค้า","2211",,"211"
"221104","ธุรกิจค้าปลีกซุปเปอร์เซ็นเตอร์","2211",,"211"
"221105","ธุรกิจค้าปลีกซุปเปอร์มาร์เก็ต","2211",,"211"
"221106","ธุรกิจค้าปลีกสินค้าเฉพาะอย่าง","2211",,"211"
"221107","ธุรกิจค้าปลีกร้านอาหารและภัตตาคาร","2211",,"211"
"221201","ภาษาต่างประเทศ","2212","Foreign Languages","212"
"221901","การจัดการด้านความปลอดภัย","2219",,"219"
"229101","กลุ่มวิชาเทคโนโลยีการท่องเที่ยว","2291",,"291"
"230101","วิจิตรศิลป์","2301","Fine Art","301"
"230201","การออกแบบ","2302","Design","302"
"230301","ศิลปหัตถกรรม","2303","Arts and Crafts","303"
"230401","ศิลปกรรมเซรามิก","2304","Ceramics","304"
"230501","ศิลปหัตถกรรมรูปพรรณและเครื่องประดับ","2305","Metalware and Jewelry","305"
"230601","การถ่ายภาพและวีดีทัศน์","2306","Photography and Video Technology","306"
"230701","เทคโนโลยีศิลปกรรม","2307","Art Technology","307"
"230801","คอมพิวเตอร์กราฟิกอาร์ต","2308","Computer Graphics Art","308"
"230802","มัลติมีเดีย","2308","Multimedia","308"
"230803","แอนิเมชั่น","2308","Animation","308"
"230901","ผลิตภัณฑ์เครื่องหนัง","2309","Leather Industry","309"
"231001","เครื่องประดับอัญมณี","2310","Jewelry Ornaments","310"
"231002","การเจียระไนอัญมณี","2310",,"310"
"231501","ช่างทองหลวง","2315",,"315"
"231502","เครื่องประดับอัญมณี","2315",,"315"
"231701","ดนตรี","2317","International Music","317"
"231702","ดนตรีประกอบสื่อและการแสดง","2317",,"317"
